text,label,language,domain,source
"La Organización Mundial de la Salud declaró en mayo de 2023 el fin de la emergencia sanitaria internacional por COVID-19, aunque aclaró que el virus sigue circulando y representa un riesgo continuo para la salud pública. Esta decisión se basó en la disminución sostenida de hospitalizaciones y muertes a nivel global, además del aumento en las tasas de vacunación y la inmunidad poblacional adquirida.",true,es,salud,synthetic_es
"Según estudios publicados en The Lancet, la vacuna contra el virus del papiloma humano (VPH) ha demostrado reducir en más del 87% los casos de cáncer cervicouterino en mujeres vacunadas antes de los 17 años en países como Reino Unido y Australia. Esta vacuna está incluida en el esquema nacional de vacunación de varios países latinoamericanos, incluyendo México, Argentina, Colombia y Chile.",true,es,salud,synthetic_es
"En 2016, el Acuerdo de Paz entre el gobierno colombiano y las FARC fue rechazado en plebiscito por un margen mínimo del 50.2% contra 49.8%, con una participación del 37% del electorado. A pesar del rechazo popular inicial, el gobierno de Juan Manuel Santos y las FARC renegociaron el texto y el Congreso lo aprobó en noviembre de ese mismo año.",true,es,política,synthetic_es
"Mira, te cuento algo que pocos saben: Brasil y Argentina implementaron programas de transferencias condicionadas masivos antes que muchos países desarrollados. El Bolsa Família brasileño llegó a beneficiar a más de 50 millones de personas y la Asignación Universal por Hijo argentina comenzó en 2009, alcanzando a millones de niños en situación de vulnerabilidad.",true,es,política,synthetic_es
"El Fondo Monetario Internacional revisó al alza sus proyecciones de crecimiento global para 2024, situándolas en 3.2%, impulsadas principalmente por la resiliencia de la economía estadounidense y la recuperación más rápida de lo esperado en varios países emergentes de Asia, aunque advirtió que persisten riesgos significativos relacionados con las tensiones geopolíticas y el endeudamiento público.",true,es,economía mundial,synthetic_es
"Bitcoin alcanzó su máximo histórico superando los 69,000 dólares en noviembre de 2021, pero luego experimentó una caída dramática que lo llevó por debajo de los 16,000 dólares a finales de 2022, afectado por el colapso de exchanges como FTX, el aumento de tasas de interés y la crisis de confianza en el sector cripto.",true,es,economía mundial,synthetic_es
"La Administración Nacional Oceánica y Atmosférica de Estados Unidos confirmó que 2023 fue el año más caluroso registrado a nivel global, superando el récord anterior de 2016. La temperatura promedio del planeta estuvo 1.35 grados Celsius por encima de los niveles preindustriales, acercándose peligrosamente al límite de 1.5°C establecido en el Acuerdo de París.",true,es,ciencia,synthetic_es
"Chile se posicionó como el país latinoamericano con mayor capacidad instalada de energía solar per cápita en 2023, alcanzando más de 8 gigavatios de potencia. El desierto de Atacama, con más de 300 días despejados al año, concentra la mayoría de los parques fotovoltaicos que ahora abastecen cerca del 18% de la matriz energética del país.",true,es,ciencia,synthetic_es
"Facebook confirmó en 2021 que su algoritmo priorizaba contenido que generaba reacciones emocionales fuertes, incluyendo enojo, lo que contribuyó a la viralización de desinformación. Documentos internos filtrados por Frances Haugen revelaron que la empresa era consciente de que este diseño amplificaba contenido divisivo y teorías conspirativas, especialmente en países de América Latina donde la moderación de contenido era limitada.",true,es,redes sociales,synthetic_es
"WhatsApp implementó en 2018 un límite de reenvío de mensajes a solo 5 chats después de que la desinformación viral en India causara linchamientos. La medida llegó a América Latina en 2019 y redujo significativamente la velocidad de propagación de cadenas falsas. Según estudios de la Universidad de Oxford, esta restricción técnica disminuyó en 70% los mensajes reenviados masivamente durante las elecciones de Brasil y México.",true,es,redes sociales,synthetic_es
