text,label,language,source
"La Organización Mundial de la Salud confirmó en 2023 que el aspartamo, endulzante artificial presente en refrescos dietéticos y chicles, fue clasificado como posiblemente cancerígeno para humanos. Sin embargo, las cantidades consideradas seguras para consumo diario se mantuvieron sin cambios, establecidas en 40 miligreos por kilo de peso corporal.",true,es,synthetic_es
"Según datos del Ministerio de Salud de Chile, el país logró reducir en un 31% las muertes por cáncer cervicouterino entre 2010 y 2020 gracias a la implementación del programa nacional de vacunación contra el virus del papiloma humano y el fortalecimiento de los programas de tamizaje con Papanicolaou.",true,es,synthetic_es
"Mira, resulta que la FDA de Estados Unidos aprobó en 2023 el primer tratamiento con tecnología CRISPR para edición genética, destinado a curar la anemia falciforme y la beta talasemia. Los pacientes tratados mostraron remisión completa de los síntomas sin necesidad de transfusiones sanguíneas posteriores durante el periodo de seguimiento.",true,es,synthetic_es
"La Organización Panamericana de la Salud reportó que América Latina y el Caribe lograron reducir la mortalidad materna en un 26% entre 2000 y 2020. Sin embargo, la región todavía registra tasas significativamente más altas que Europa y Norteamérica, con aproximadamente 74 muertes maternas por cada 100 mil nacidos vivos.",true,es,synthetic_es
"Te cuento algo importante: el sarampión fue declarado eliminado de las Américas en 2016, pero la enfermedad reapareció en varios países de la región a partir de 2017 debido a la disminución en las tasas de vacunación. Brasil perdió su certificación de país libre de sarampión en 2019 tras registrar brotes sostenidos.",true,es,synthetic_es
"La vacuna contra el dengue desarrollada por Takeda, llamada TAK-003, fue aprobada por la Agencia Europea de Medicamentos en 2022 y posteriormente por varios países latinoamericanos. A diferencia de otras vacunas, puede administrarse a personas que nunca han tenido dengue, sin necesidad de pruebas serológicas previas.",true,es,synthetic_es
"Fíjate que la OMS actualizó en 2023 su lista de bacterias resistentes a antibióticos que representan mayor amenaza global. Incluyó por primera vez a Streptococcus pneumoniae resistente a penicilina, responsable de neumonías graves, y elevó la prioridad de varias bacterias gram-negativas multirresistentes que afectan hospitales de América Latina.",true,es,synthetic_es
"Según estudios publicados en The Lancet, la vacuna contra el virus sincicial respiratorio desarrollada por Pfizer y aprobada en 2023 demostró una eficacia del 82% en prevenir enfermedad grave en bebés cuando se administra a mujeres embarazadas durante el tercer trimestre. El virus es la principal causa de hospitalización en lactantes menores de un año.",true,es,synthetic_es
"México se convirtió en 2023 en el primer país de América Latina en aprobar el uso de cannabis medicinal para tratamiento del dolor crónico, epilepsia refractaria y efectos secundarios de quimioterapia. La medida permite que médicos especialistas prescriban productos con THC y CBD bajo regulación estricta del sector salud.",true,es,synthetic_es
"Oye, resulta que la hepatitis C puede curarse completamente con antivirales de acción directa en tratamientos de 8 a 12 semanas, con tasas de curación superiores al 95%. La OMS estableció como meta eliminar la hepatitis C como amenaza de salud pública para 2030, reduciendo nuevas infecciones en 90% y muertes en 65%.",true,es,synthetic_es
